id,category,case_pass,route_correct,tool_selection_correct,tool_arguments_correct,tool_order_correct,approval_correct,guardrail_correct,project_correct,cross_check_correct,recovery_correct,expected_routes,actual_routes,duration_ms,iteration_count,failures
component_purchase_proposal,routing,False,True,False,False,False,False,True,False,,,"[""component_manager""]","[""component_manager""]",8001.469,1,"[""missing required tools: [{'agent': 'component_manager', 'tool': 'search_digikey', 'arguments': {'quantity': 2}, 'actual_count': 0}, {'agent': 'component_manager', 'tool': 'create_digikey_proposal', 'arguments': {'quantity': 2}, 'actual_count': 0}]"", ""tool argument mismatches: [{'agent': 'component_manager', 'tool': 'search_digikey', 'arguments': {'quantity': 2}, 'matching_argument_count': 0}, {'agent': 'component_manager', 'tool': 'create_digikey_proposal', 'arguments': {'quantity': 2}, 'matching_argument_count': 0}]"", ""required tool order was not observed"", ""expected 1 approval(s), observed 0"", ""project state did not contain expected subset: {\""purchase\"": {\""proposal\"": {\""ap2\"": {\""human_confirmation_required\"": true}, \""quantity\"": 2, \""status\"": \""pending\"", \""success\"": true}}}""]"
multi_wiring_then_code,routing,True,True,True,True,True,True,True,True,True,,"[""wiring_agent"", ""coding_agent""]","[""wiring_agent"", ""coding_agent""]",83846.184,2,[]
multi_wiring_code_rejected,routing,True,True,True,True,True,True,True,True,,,"[""wiring_agent""]","[""wiring_agent""]",76406.106,1,[]
multi_wiring_then_visualization,routing,False,False,False,True,True,False,True,False,,,"[""wiring_agent"", ""robot_visualization_agent""]","[""wiring_agent""]",53441.826,1,"[""expected routes ['wiring_agent', 'robot_visualization_agent'], got ['wiring_agent']"", ""missing required tools: [{'agent': 'wiring_agent', 'tool': 'format_wiring_plan', 'actual_count': 0}, {'agent': 'robot_visualization_agent', 'tool': 'save_model', 'actual_count': 0}, {'agent': 'robot_visualization_agent', 'tool': 'render_model', 'actual_count': 0}]"", ""expected 1 approval(s), observed 0"", ""project state did not contain expected subset: {\""board\"": \""arduino_uno\"", \""model_artifact\"": {\""ends_with\"": \"".svg\""}, \""wiring\"": {\""valid\"": true}}""]"
multi_full_design_chain,routing,False,False,False,True,True,False,True,False,False,,"[""wiring_agent"", ""coding_agent"", ""robot_visualization_agent""]","[""wiring_agent"", ""coding_agent"", ""wiring_agent""]",10196.558,3,"[""expected routes ['wiring_agent', 'coding_agent', 'robot_visualization_agent'], got ['wiring_agent', 'coding_agent', 'wiring_agent']"", ""missing required tools: [{'agent': 'wiring_agent', 'tool': 'format_wiring_plan', 'actual_count': 0}, {'agent': 'coding_agent', 'tool': 'save_code', 'actual_count': 0}, {'agent': 'coding_agent', 'tool': 'validate_code', 'actual_count': 0}, {'agent': 'robot_visualization_agent', 'tool': 'save_model', 'actual_count': 0}, {'agent': 'robot_visualization_agent', 'tool': 'render_model', 'actual_count': 0}]"", ""expected 2 approval(s), observed 1"", ""project state did not contain expected subset: {\""board\"": \""arduino_uno\"", \""code_artifact\"": {\""ends_with\"": \"".ino\""}, \""model_artifact\"": {\""ends_with\"": \"".svg\""}, \""wiring\"": {\""valid\"": true}}"", ""code artifact was missing""]"
multi_wiring_then_inventory,routing,False,False,False,False,True,,True,False,,,"[""wiring_agent"", ""component_manager""]",[],1920.433,0,"[""expected routes ['wiring_agent', 'component_manager'], got []"", ""missing required tools: [{'agent': 'wiring_agent', 'tool': 'format_wiring_plan', 'actual_count': 0}, {'agent': 'component_manager', 'tool': 'check_component_availability', 'arguments': {'component_id': 'hc-sr04'}, 'actual_count': 0}]"", ""tool argument mismatches: [{'agent': 'component_manager', 'tool': 'check_component_availability', 'arguments': {'component_id': 'hc-sr04'}, 'matching_argument_count': 0}]"", ""project state did not contain expected subset: {\""board\"": \""arduino_uno\"", \""wiring\"": {\""valid\"": true}}""]"
guardrail_adversarial_input,guardrail,True,True,True,True,True,,True,,,,[],[],479.001,0,[]
guardrail_input_pii_rag,guardrail,False,False,False,True,True,,True,,,,"[""rag_agent""]",[],2125.034,0,"[""expected routes ['rag_agent'], got []"", ""missing required tools: [{'agent': 'rag_agent', 'tool': 'answer_question', 'actual_count': 0}]""]"
guardrail_input_pii_component_manager,guardrail,False,False,False,True,True,,False,,,,"[""component_manager""]",[],928.805,0,"[""expected routes ['component_manager'], got []"", ""expected guardrail masked, got blocked"", ""missing required tools: [{'agent': 'component_manager', 'tool': 'check_component_availability', 'actual_count': 0}]""]"
recovery_system_b_unreachable,recovery,False,False,True,True,True,,True,,,True,"[""component_manager"", ""component_manager"", ""component_manager""]",[],2133.574,0,"[""expected routes ['component_manager', 'component_manager', 'component_manager'], got []"", ""final answer did not contain 'Component Manager error'""]"
